hostname_origin;pub_client_id;publish_connect_init;publish_connect_ack;publish_timestamp;publish_qos;hostname_destination;sub_client;arrival_timestamp;e2e_delay
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.192926;0;172.20.0.3;sub6;2020-06-20 23:19:36.364632;0:00:00.171706
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.195589;0;172.20.0.3;sub6;2020-06-20 23:19:36.686382;0:00:00.490793
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.192926;0;172.20.0.3;sub1;2020-06-20 23:19:36.423013;0:00:00.230087
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.197924;0;172.20.0.3;sub6;2020-06-20 23:19:36.741874;0:00:00.543950
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.192926;0;172.20.0.3;sub5;2020-06-20 23:19:36.618135;0:00:00.425209
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.195589;0;172.20.0.3;sub1;2020-06-20 23:19:36.722458;0:00:00.526869
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.192926;0;172.20.0.3;sub7;2020-06-20 23:19:36.548720;0:00:00.355794
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.203311;0;172.20.0.3;sub6;2020-06-20 23:19:36.766512;0:00:00.563201
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.192926;0;172.20.0.3;sub2;2020-06-20 23:19:36.588912;0:00:00.395986
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.195589;0;172.20.0.3;sub5;2020-06-20 23:19:36.778019;0:00:00.582430
172.20.0.3;pub0;2020-06-20 23:19:36.123257;2020-06-20 23:19:36.192560;2020-06-20 23:19:36.197924;0;172.20.0.3;sub1;2020-06-20 23:19:36.774103;0:00:00.576179
