hostname_origin;pub_client_id;publish_connect_init;publish_connect_ack;publish_timestamp;publish_qos;hostname_destination;sub_client;arrival_timestamp;e2e_delay
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub2;2020-06-20 23:11:33.035332;0:00:00.502457
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub7;2020-06-20 23:11:32.980864;0:00:00.447989
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub2;2020-06-20 23:11:33.150355;0:00:00.610546
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub2;2020-06-20 23:11:33.181968;0:00:00.599174
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub5;2020-06-20 23:11:32.995213;0:00:00.462338
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub2;2020-06-20 23:11:33.202574;0:00:00.585135
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.817208;0;172.20.0.4;sub2;2020-06-20 23:11:33.219838;0:00:00.402630
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub7;2020-06-20 23:11:33.204578;0:00:00.664769
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub1;2020-06-20 23:11:33.007676;0:00:00.474801
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub5;2020-06-20 23:11:33.247789;0:00:00.707980
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub7;2020-06-20 23:11:33.248220;0:00:00.665426
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub1;2020-06-20 23:11:33.228542;0:00:00.688733
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub10;2020-06-20 23:11:33.048176;0:00:00.515301
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.865589;0;172.20.0.4;sub2;2020-06-20 23:11:33.236572;0:00:00.370983
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub9;2020-06-20 23:11:33.096306;0:00:00.563431
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub1;2020-06-20 23:11:33.283077;0:00:00.700283
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub5;2020-06-20 23:11:33.305594;0:00:00.722800
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub6;2020-06-20 23:11:33.046197;0:00:00.513322
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub10;2020-06-20 23:11:33.328010;0:00:00.788201
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub1;2020-06-20 23:11:33.346378;0:00:00.728939
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub5;2020-06-20 23:11:33.349429;0:00:00.731990
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub9;2020-06-20 23:11:33.289337;0:00:00.749528
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.867622;0;172.20.0.4;sub2;2020-06-20 23:11:33.349943;0:00:00.482321
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.817208;0;172.20.0.4;sub5;2020-06-20 23:11:33.381475;0:00:00.564267
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub4;2020-06-20 23:11:32.995754;0:00:00.462879
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub9;2020-06-20 23:11:33.397127;0:00:00.814333
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.865589;0;172.20.0.4;sub5;2020-06-20 23:11:33.399676;0:00:00.534087
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub10;2020-06-20 23:11:33.366594;0:00:00.783800
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.879203;0;172.20.0.4;sub2;2020-06-20 23:11:33.435877;0:00:00.556674
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.817208;0;172.20.0.4;sub1;2020-06-20 23:11:33.391916;0:00:00.574708
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub6;2020-06-20 23:11:33.356828;0:00:00.817019
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub9;2020-06-20 23:11:33.449433;0:00:00.831994
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.867622;0;172.20.0.4;sub5;2020-06-20 23:11:33.445639;0:00:00.578017
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub10;2020-06-20 23:11:33.438587;0:00:00.821148
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub4;2020-06-20 23:11:33.437467;0:00:00.897658
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub7;2020-06-20 23:11:33.290828;0:00:00.673389
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub8;2020-06-20 23:11:32.980657;0:00:00.447782
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.881097;0;172.20.0.4;sub2;2020-06-20 23:11:33.538458;0:00:00.657361
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub8;2020-06-20 23:11:33.540239;0:00:01.000430
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.817208;0;172.20.0.4;sub9;2020-06-20 23:11:33.488524;0:00:00.671316
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub6;2020-06-20 23:11:33.541677;0:00:00.958883
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.817208;0;172.20.0.4;sub7;2020-06-20 23:11:33.559082;0:00:00.741874
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.532875;0;172.20.0.4;sub3;2020-06-20 23:11:32.951040;0:00:00.418165
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub4;2020-06-20 23:11:33.558583;0:00:00.975789
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub8;2020-06-20 23:11:33.576316;0:00:00.993522
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.879203;0;172.20.0.4;sub5;2020-06-20 23:11:33.540706;0:00:00.661503
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub6;2020-06-20 23:11:33.617588;0:00:01.000149
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.817208;0;172.20.0.4;sub10;2020-06-20 23:11:33.571477;0:00:00.754269
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.539809;0;172.20.0.4;sub3;2020-06-20 23:11:33.590095;0:00:01.050286
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.888273;0;172.20.0.4;sub2;2020-06-20 23:11:33.575818;0:00:00.687545
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.865589;0;172.20.0.4;sub1;2020-06-20 23:11:33.507516;0:00:00.641927
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.617439;0;172.20.0.4;sub8;2020-06-20 23:11:33.628027;0:00:01.010588
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.582794;0;172.20.0.4;sub3;2020-06-20 23:11:33.643023;0:00:01.060229
172.20.0.3;pub0;2020-06-20 23:11:32.458416;2020-06-20 23:11:32.532114;2020-06-20 23:11:32.865589;0;172.20.0.4;sub9;2020-06-20 23:11:33.628162;0:00:00.762573
